HA,3,24,w1,w2,w3
434,14,29,-4,-2,3
435,14,29,2,-4,-3
436,14,29,2,-4,3
437,14,29,2,4,-3
438,14,29,2,4,3
439,14,34,-3,3,4
440,14,36,4,-2,-4
441,15,5,-1,0,2
442,15,6,1,2,1
443,15,6,2,-1,-1
444,15,9,0,-3,0
445,15,9,1,2,-2
446,15,9,2,-1,2
447,15,13,-3,-2,0
448,15,14,-2,3,1
449,15,17,-2,3,-2
450,15,17,-1,0,-4
451,15,18,-4,1,-1
452,15,18,0,-3,-3
453,15,18,0,-3,3
454,15,18,4,1,1
455,15,21,-4,1,2
456,15,21,1,2,4
457,15,21,2,-1,-4
458,15,21,4,1,-2
459,15,22,-3,-2,-3
460,15,22,-3,-2,3
461,15,25,3,-4,0
462,15,25,3,4,0
463,15,29,-2,3,4
464,15,33,-4,1,-4
465,15,33,4,1,4
466,15,34,3,-4,-3
467,15,34,3,-4,3
468,15,34,3,4,-3
469,15,34,3,4,3
470,16,4,0,0,2
471,16,8,-2,-2,0
472,16,9,2,2,1
473,16,10,1,-3,0
474,16,11,-3,1,-1
475,16,11,-1,3,1
476,16,11,3,-1,-1
477,16,12,2,2,-2
478,16,14,-3,1,2
479,16,14,-1,3,-2
480,16,14,3,-1,2
481,16,16,0,0,-4
482,16,17,-2,-2,-3
483,16,17,-2,-2,3
484,16,19,1,-3,-3
485,16,19,1,-3,3
486,16,24,2,2,4
487,16,26,-3,1,-4
488,16,26,-1,3,4
489,16,26,3,-1,-4
490,16,32,4,-4,0
491,16,32,4,4,0
492,16,33,-4,-4,1
493,16,33,-4,4,1
494,16,36,-4,-4,-2
495,16,36,-4,4,-2
496,16,41,4,-4,-3
497,16,41,4,-4,3
498,16,41,4,4,-3
499,16,41,4,4,3
500,16,48,-4,-4,4
501,16,48,-4,4,4
502,17,5,-1,-2,0
503,17,5,1,0,2
504,17,6,-2,1,-1
505,17,9,-2,1,2
506,17,10,0,3,1
507,17,13,0,3,-2
508,17,13,2,-3,0
509,17,14,-1,-2,-3
510,17,14,-1,-2,3
511,17,14,3,2,1
512,17,17,-4,-1,0
513,17,17,1,0,-4
514,17,17,3,2,-2
515,17,18,4,-1,-1
516,17,21,-2,1,-4
517,17,21,4,-1,2
518,17,22,2,-3,-3
519,17,22,2,-3,3
520,17,25,0,3,4
521,17,26,-4,-1,-3
522,17,26,-4,-1,3
523,17,26,-3,-4,1
524,17,26,-3,4,1
525,17,29,-3,-4,-2
526,17,29,-3,4,-2
527,17,29,3,2,4
528,17,33,4,-1,-4
529,17,41,-3,-4,4
530,17,41,-3,4,4
531,18,4,0,-2,0
532,18,5,2,0,-1
533,18,6,-1,1,2
534,18,8,2,0,2
535,18,10,-3,-1,0
536,18,11,1,3,1
537,18,13,0,-2,-3
538,18,13,0,-2,3
539,18,14,1,3,-2
540,18,18,-1,1,-4
541,18,18,3,-3,0
542,18,19,-3,-1,-3
543,18,19,-3,-1,3
544,18,20,2,0,-4
545,18,21,-4,2,-1
546,18,21,-2,-4,1
547,18,21,-2,4,1
548,18,21,4,2,1
549,18,24,-4,2,2
550,18,24,-2,-4,-2
551,18,24,-2,4,-2
552,18,24,4,2,-2
553,18,26,1,3,4
554,18,27,3,-3,-3
555,18,27,3,-3,3
556,18,36,-4,2,-4
557,18,36,-2,-4,4
558,18,36,-2,4,4
559,18,36,4,2,4
560,19,5,-2,-1,0
561,19,5,0,1,2
562,19,5,1,-2,0
563,19,10,3,0,-1
564,19,13,3,0,2
565,19,14,-3,2,-1
566,19,14,-2,-1,-3
567,19,14,-2,-1,3
568,19,14,1,-2,-3
569,19,14,1,-2,3
570,19,14,2,3,1
571,19,17,-3,2,2
572,19,17,0,1,-4
573,19,17,2,3,-2
574,19,18,-1,-4,1
575,19,18,-1,4,1
576,19,21,-1,-4,-2
577,19,21,-1,4,-2
578,19,25,3,0,-4
579,19,25,4,-3,0
580,19,26,-4,-3,1
581,19,29,-4,-3,-2
582,19,29,-3,2,-4
583,19,29,2,3,4
584,19,33,-1,-4,4
585,19,33,-1,4,4
586,19,34,4,-3,-3
587,19,34,4,-3,3
588,19,41,-4,-3,4
589,20,3,1,1,-1
590,20,6,1,1,2
591,20,8,2,-2,0
592,20,9,-2,2,-1
593,20,11,-1,-1,-3
594,20,11,-1,-1,3
595,20,12,-2,2,2
596,20,16,-4,0,0
597,20,17,0,-4,1
598,20,17,0,4,1
599,20,17,2,-2,-3
600,20,17,2,-2,3
601,20,17,4,0,-1
602,20,18,1,1,-4
603,20,19,-3,-3,1
604,20,19,3,3,1
605,20,20,0,-4,-2
606,20,20,0,4,-2
607,20,20,4,0,2
608,20,22,-3,-3,-2
609,20,22,3,3,-2
610,20,24,-2,2,-4
611,20,25,-4,0,-3
612,20,25,-4,0,3
613,20,32,0,-4,4
614,20,32,0,4,4
615,20,32,4,0,-4
616,20,34,-3,-3,4
617,20,34,3,3,4
618,21,6,-1,2,-1
619,21,6,2,1,-1
620,21,9,-3,0,0
621,21,9,-1,2,2
622,21,9,2,1,2
623,21,10,0,-1,-3
624,21,10,0,-1,3
625,21,13,3,-2,0
626,21,14,-2,-3,1
627,21,17,-2,-3,-2
628,21,18,-3,0,-3
629,21,18,-3,0,3
630,21,18,1,-4,1
631,21,18,1,4,1
632,21,21,-1,2,-4
633,21,21,1,-4,-2
634,21,21,1,4,-2
635,21,21,2,1,-4
636,21,22,3,-2,-3
637,21,22,3,-2,3
638,21,26,-4,3,-1
639,21,26,4,3,1
640,21,29,-4,3,2
641,21,29,-2,-3,4
642,21,29,4,3,-2
643,21,33,1,-4,4
