HA,3,35,w1,w2,w3
593,29,29,2,3,4
594,29,33,4,4,1
595,29,41,-3,-4,-4
596,30,6,1,-2,1
597,30,8,-2,0,2
598,30,9,-2,-2,-1
599,30,11,3,1,1
600,30,13,0,3,2
601,30,14,3,-1,-2
602,30,17,0,-1,-4
603,30,17,1,0,4
604,30,18,-3,3,0
605,30,19,-3,1,-3
606,30,21,1,-4,-2
607,30,21,2,4,-1
608,30,24,2,2,-4
609,30,26,-1,-3,4
610,30,26,-1,4,-3
611,30,29,-4,-3,2
612,30,29,4,-2,3
613,30,32,4,-4,0
614,30,34,3,3,4
615,30,36,-2,-4,-4
616,31,5,-1,0,2
617,31,6,-1,-2,-1
618,31,9,2,-2,1
619,31,13,-2,3,0
620,31,14,-2,1,-3
621,31,14,1,3,2
622,31,16,-4,0,0
623,31,18,1,-1,-4
624,31,18,4,1,1
625,31,20,2,0,4
626,31,21,4,-1,-2
627,31,22,-3,-3,2
628,31,24,2,-4,-2
629,31,25,0,-3,4
630,31,25,0,4,-3
631,31,26,3,4,-1
632,31,29,-4,-2,-3
633,31,29,-4,2,3
634,31,29,3,2,-4
635,31,33,-1,-4,-4
636,31,41,4,3,4
637,32,5,0,-2,-1
638,32,6,2,1,-1
639,32,9,-3,0,0
640,32,10,-1,3,0
641,32,11,-1,1,-3
642,32,14,3,-2,1
643,32,17,-2,-3,2
644,32,17,2,3,2
645,32,21,2,-1,-4
646,32,22,-3,-2,-3
647,32,22,-3,2,3
648,32,25,3,0,4
649,32,26,1,-3,4
650,32,26,1,4,-3
651,32,29,-4,3,-2
652,32,29,3,-4,-2
653,32,32,0,-4,-4
654,32,33,4,4,-1
655,32,36,4,2,-4
656,33,5,1,0,2
657,33,6,1,-2,-1
658,33,9,0,3,0
659,33,10,0,1,-3
660,33,11,3,1,-1
661,33,14,-1,-3,2
662,33,17,-2,-2,-3
663,33,17,-2,2,3
664,33,21,4,-2,1
665,33,22,-3,3,-2
666,33,22,3,3,2
667,33,25,-4,-3,0
668,33,26,-4,-1,3
669,33,26,3,-1,-4
670,33,29,2,-3,4
671,33,29,2,4,-3
672,33,32,4,0,4
673,33,33,1,-4,-4
674,33,36,4,-4,-2
675,34,8,2,0,2
676,34,9,2,-2,-1
677,34,10,1,3,0
678,34,11,1,1,-3
679,34,13,0,-3,2
680,34,14,-1,-2,-3
681,34,14,-1,2,3
682,34,17,-2,3,-2
683,34,18,-3,-3,0
684,34,18,4,1,-1
685,34,19,-3,-1,3
686,34,20,-4,0,-2
687,34,21,-4,2,1
688,34,29,4,3,2
689,34,33,4,-1,-4
690,34,34,3,-3,4
691,34,34,3,4,-3
692,34,36,2,-4,-4
693,34,48,-4,4,4
